comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
AL20240823114600-221193,AL20240823114600,ONG,Fa 1 mes,,"Tota la raó, en tres anys no es soluciona el problema, ni en tres ni en sis, però dic jo que en algun moment s’hauran d’acabar les prorrògues. Algun dia arribarà en el qual podré manar a casa meva. O potser no. Algú m’haurà d’explicar bé que significa això de les polítiques socials de la UE.",,24,2
AL20240823114600-221228,AL20240823114600,Fins els COLLONS,Fa 1 mes,,"Tu solament amb el nou sistema de DA ets amo I senyor de lo teu a l'hora de pagar les Taxes, per lo demés aquets dropos entre ells la super ministra de les mil carteres i mil cagades són ells els que manen i fan i desfan, ara a casa seva ja ho tenen tot ven lligat,  allà segur que tot va viento en popa a toda vela, fàstic fot aquest país",,9,2
AL20240823114600-221191,AL20240823114600,Previsió inexistent,Fa 1 mes,,"Si hem fomentat amb els notres diners fer crèixer el païs en 6000-7000 els ultims anys potser haver anallitzat abans l'impacte sobre l'habitatge (però també sanitat, cass, mobilitat,...) que tindira. Quins lumbreras! Amb l'acord de l'UE passarà igual: no tenen ni idea, i no els interessa l'impacte que tindrà sobre el dia a dia.... nosaltres a pringar.",,21,0
AL20240823114600-221188,AL20240823114600,uf,Fa 1 mes,,"Amb aquests nivells d'intervenció em sembla que alguns no veuen el pet que fotrà tot de campi qui pugui del lloguer. A part del que diuen, ja portem molts anys que en pisos no es fan reformes...en alguns casos segur que tenen la instal·lació elèctrica sense revisar i feta un cristo...amb les conseqüències que pot tindre.",,16,2
AL20240823114600-221187,AL20240823114600,Mike,Fa 1 mes,,“és temporal la ciutadania s’haurà d’espavilar” Una frase que resume todo.,,10,0
AL20240823114600-221185,AL20240823114600,Òs Cabrejat,Fa 1 mes,,"Tres anys on immobiliàries i privats continuaran fent-se d'or gracies al Govern i a costa de la població, felicitats als interessats!",,17,3
AL20240823114600-221178,AL20240823114600,PEPOVIC,Fa 1 mes,,Coll.ns...no cal ser economista per saber això,,39,1
AL20240823114600-221176,AL20240823114600,juan tutri,Fa 1 mes,,"Els esforços i interessos sense límit perquè no hagi registre de la propietat... cui prodest? Ep, que el cadastre no és i no serà mai un registre.",,16,9
AL20240823114600-221175,AL20240823114600,Cansat,Fa 1 mes,,Senyors i senyores jo després de 10 anys al país ja estic cansat de tanta història i tanta penúria adéu me’n torno a casa,,40,2
AL20240823114600-221201,AL20240823114600,oscar,Fa 1 mes,,"Abans de marxar diga'm on vius, per si puc llogar el teu pis :-).",,17,3
AL20240823114600-221172,AL20240823114600,Amb un parell de COLLONS amb 2 dies arreglat,Fa 1 mes,,"Naturalment que això no s'arregla amb 3 anys si no és tanca la porta de una punyetera vegada a la immigració desbocada i a les adreces fiscals amb pisos i es dóna 6 mesos perquè deixin els pisos que funcionen com negoci i s'obliga que que posin aquets negocis ficticis amb locals que es on havien estat les empreses tota la vida, PROU IMMIGRANT QUE JA ARRIBA ASSESSORAT QUE SON EL PROPER PROBLEMA SOCISL  I PROU XANXULLO FISCAL DE VIVALES, QUE FOTIN AL CAMP A CEUTA QUE  AIXÍ RESPIRAREM",,37,3
AL20240823114600-221227,AL20240823114600,Amb els d'aquí si pagues com cal (error),Fa 1 mes,,Volia dir què ja està  bé  de llogar esclaus i que aquets ja t'arriben aquí amb tot el manual de afers socials memoritzat,,6,1
AL20240823114600-221206,AL20240823114600,Amb els d'aquí si pagues com cal,Fa 1 mes,,"Doncs fàcil llogant a la gent d'aquí i un 20 per cent de immigració, ja estàba de llogar esclaus per fer baixar sous pagueu el que toca, amb 1300 euros i 2000 de pis ningú viu, per cert aquest ja t'atenien aquí amb tot el manual de afers socials memoritzat per demanar",,7,1
AL20240823114600-221194,AL20240823114600,Andorra,Fa 1 mes,,Com tanquis la porta a la inmigració no sé jo com atendrem al turisme que ens dona de menjar.,,4,16
AL20240823114600-221171,AL20240823114600,Alex,Fa 1 mes,,"Algu esperava canvis? Es DA, només busquen guanyar temps i que el poble es cregui que estan treballant pel canvi. Volen que marxem a viure a la Seu i aixi els rics es quedaran a Andorra.",,35,2
AL20240823114600-221169,AL20240823114600,LES COSES CLARES I AMB UN PARELL.,Fa 1 mes,,"Aquí el que s’ha fet es gastar una pasterada amb edificis molt vells i les reformes que ho pagarem entre tots i no soluciona absolutament res ( això no ho paga govern, som nosaltres). Comenceu a fer com a Suècia tancant la porta que porta ja molt temps oberta de vat a vat com han fet ells, prohibiu posar adreces fiscals als pisos (que tenen de ser per viure la gent no per tapadores de negocis no existents) els negocis als locals que ni ha molts de buits i es allà on tenen de estar i veureu que de cop apareixen mes de 2 mil pisos, els que ja estiguin amb pisos 6 mesos per sortir de ells i posar el seu xanxullo taxes als locals com toca i qui no vulgui que marxi cap a Ceuta ho on sigui, que collons a de anar fer la gent al Pas de la casa quan esta ple de pisos ocupats per tots aquets vivales . P.D per els que diuen 20 ho 30 minuts pujar al Pas amb bus es mentida aixo ja es tarda per anar a Encamp en hores punta",,65,5
AL20240813113300-219852,AL20240813113300,Perico,Fa 1 mes,,Abus es expropiar els bens a qui ela ha pagat. Mes ben dit es robar,,13,10
AL20240813113300-219847,AL20240813113300,Tucaranomesuena,Fa 1 mes,,? Como a llegado a esto Andorra?..en las tiendas solo se comenta entre los turistas...que todo está mas caro que en España..solo van a conseguir..que no vengamos. Eso dicen los turistas..esto de la noche a la mañana ..quieren  ponerse a la altura de Monaco...y no es ni la sombra... aquí no van a venir con yates y cochazos...esa gente ..no busca estar ...entre montañas...y con la limpieza de estas al lado de las casas ( que brilla por su ausencia) unos sueldos de vergüenza...alquileres desorbitados..cada dia un precio en los supermercados...!! Un desbarajuste en todo.!! Que uno no sabe ...ni donde está,,19,1
AL20240813113300-219839,AL20240813113300,...,Fa 1 mes,,Denunciar es molt facil. Que la batllia faci la feina i aclari si es real o no.,,7,4
AL20240813113300-219873,AL20240813113300,Wtf,Fa 1 mes,,"Ell no se si serà innocent o no, però si tu vols prendre la justícia pel teu compte fora de tribunals pot ser t'acaben penjants des ous en el pont... Uns mica de cap..",,1,1
