comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
AL20241006204100-227983,AL20241006204100,Conductor,Fa 18 minuts,,"El dissabte estava tornant a Andorra, y ja de nit en la zona del Kàrting el Pla un cotxe es va avançar quan jo estava al meu carril. En va fer llums per què me apartes. No vull dir les plaques d'on eren, però una mica de seny sí que faria falta. No entenc com te la pots jugar sabent que pots matar a algú que va tranquil·lament al seu carril perquè eres un prisas. Una mica més de consciència que jo també vull arribar a ma casa.",,2,0
AL20241006204100-227972,AL20241006204100,illa,Fa 1 hora,,"Ara que els Catalans disposanat de miles de millions , ja seria hora de fer una autovia cap al pirineu, que ens tenen oblidats.",,4,2
AL20241006204100-227980,AL20241006204100,Capitan araña,Fa 45 minuts,,"La independencia chupa muchos recursos económicos.., hay que pagar a waterloo y a toda la pandilla. Nunca se ha visto tanta pobreza en Cataluña....",,6,1
AL20241006204100-227962,AL20241006204100,Batdefu,Fa 1 hora,,"Carretera mal mantinguda, sense variants als pobles, linies que quan plou no es veuen, i ara per acabar-ho d’arrodonir retallen tots els dobles carrils,retallats un bon tros hi ha sobre amb el cediu el pas al costat esquerre, aquest hivern hi haura accidents a dojo (espero que no).Gracies al inutil que ha dissenyat aquest disbarat, aixo si corves amb discontinua que no hi ha visibilitat continuen sense corregir-les.",,10,1
AL20241006204100-227990,AL20241006204100,Hater,Fa 2 minuts,,Si vas a 90 pocs accidents veuràs,,0,0
AL20241006204100-227956,AL20241006204100,Sergi,Fa 2 hores,,Quantes morts en aquetl punt negre de Coll de Nargó! Tragics retorns. Recordem que la velocitat hi  reduida a 50 km hauria de passar a 30.,,2,7
AL20241006204100-227943,AL20241006204100,CIUTADANA,Fa 2 hores,,Ànims!!!,,4,1
BO20241006204700-0,BO20241006204700,ens,,,"Lo que no diu aquest ""expert"" es la manca absoluta i orquestrada de representants laborals a les empreses la qual cosa hauria de ser simplement obligatòria i no opcional. Llavors lo que diu aquest senyor igual seria factible.",,,
DI20241006120400-20580713,DI20241006120400,Toni,"10/6/2024, 9:53:53 AM",2024-10-06 09:53:53,No deia la Marsol que hi havia 6000 pisos buits a Andorra? S’acaben les idees.,,,
DI20241006120400-20580569,DI20241006120400,Toni,"10/6/2024, 9:37:47 AM",2024-10-06 09:37:47,"A Andorra no falten pisos, sobra gent.",,,
DI20241006120400-20581014,DI20241006120400,L,"10/6/2024, 10:17:18 AM",2024-10-06 10:17:18,"No sobran personas ,muchos inmigrantes sacan adelante el país trabajando más de 14 h al día y haciendo el trabajo que no quieren hacer los andorranos ",20580569,,
DI20241006120400-20581288,DI20241006120400,Cona,"10/6/2024, 10:36:22 AM",2024-10-06 10:36:22,Mentira cochina….,20581014,,
DI20241006120400-20579975,DI20241006120400,Mark,"10/6/2024, 8:36:30 AM",2024-10-06 08:36:30,"Un d'aquests és de casa. Finca del 1947, casa pairal. Està buit perquè posar-lo en lloguer costa mes que comprar un de nou pels requisits de la cèdula. Ens el faran arreglar? Si és així qui ho pagarà? Estan sonats....",,,
DI20241006120400-20579885,DI20241006120400,Andorrà fart de mentides,"10/6/2024, 8:26:19 AM",2024-10-06 08:26:19,"N'hi han més, però segons aqui no se li toca el pis!... ja sabem cognoms.",,,
DI20241006120400-20579382,DI20241006120400,Revolución,"10/6/2024, 7:29:02 AM",2024-10-06 07:29:02,Expropriese !! Viva la revolución Andorrana ! ,,,
DI20241006120400-20581018,DI20241006120400,L,"10/6/2024, 10:17:31 AM",2024-10-06 10:17:31,Llegará calma ,20579382,,
DI20241006120400-20579045,DI20241006120400,T,"10/6/2024, 6:55:50 AM",2024-10-06 06:55:50,Es propiedad privada como si hay 10,,,
DI20241006120400-20578642,DI20241006120400,Suicidi polític,"10/6/2024, 6:04:36 AM",2024-10-06 06:04:36,Suicidi Polític tal qual,,,
DI20241006120400-20577842,DI20241006120400,La realitat,"10/6/2024, 4:28:28 AM",2024-10-06 04:28:28,230 plets,,,
DI20241006120400-20577216,DI20241006120400,Comptes xaiets,"10/6/2024, 2:58:48 AM",2024-10-06 02:58:48,Feu les llistes que volgueu. Sperdreu les eleccipns es revocara la llei omnibus i tot aixo k feu haura sigut una perdua dd temps xk els andoerans no deixarem k cap politicutxo ens robi els nostres bens,,,
DI20241006120400-20578253,DI20241006120400,Josep,"10/6/2024, 5:21:29 AM",2024-10-06 05:21:29,"Esta claro que por tu escritura y sintaxis,, no eres de los que tiene un piso!!!!!",20577216,,
DI20241006120400-20579838,DI20241006120400,Andorrà,"10/6/2024, 8:21:28 AM",2024-10-06 08:21:28,Et sorpendríes de la de catetos que tenen un pis...,20578253,,
DI20241006120400-20580118,DI20241006120400,Me meo,"10/6/2024, 8:50:34 AM",2024-10-06 08:50:34,I tú tant espavilat i sense tenir-ne cap,20579838,,
DI20241006115600-20582222,DI20241006115600,Miquel taverner de gràcia,"10/6/2024, 11:37:06 AM",2024-10-06 11:37:06,Votaré aliança catalana proper cop ,,,
DI20241006115600-20583973,DI20241006115600,A cada poble n'hi ha un,"10/6/2024, 1:32:12 PM",2024-10-06 13:32:12,"Pero si no saps ni escriure, imaginat saber votar...",20582222,,
DI20241006115600-20579957,DI20241006115600,Gerardo,"10/6/2024, 8:35:10 AM",2024-10-06 08:35:10,Lo que los argentinos estos quieren es pasta gansa.,,,
DI20241006115600-20577269,DI20241006115600,Txell,"10/6/2024, 3:06:55 AM",2024-10-06 03:06:55,"Noms i cognoms d aquesta gent, si son un perill pels ciutadans, aquest mati un grupet ha em va dir coses quan jo anave a treballar, tinc que aguantar aixo? On es la policia? Es fan els valents en grup, ja sabem que aixo vol dir que sols son uns cobards, una noia ja no pot anar tranquila pel pais",,,
DI20241006115600-20575763,DI20241006115600,Qui la fa la paga,"10/5/2024, 10:43:21 PM",2024-10-05 22:43:21,"Una bona temporada a la Comella els faria pensar i meditar, juntament amb unes disculpes que haurien de ser públiques, en tots els medis de comunicació. ",,,
DI20241006115500-20586535,DI20241006115500,N,"10/6/2024, 9:09:21 PM",2024-10-06 21:09:21,"Vergonya de comentaris, tot té gènere per això s’ aplica la perspectiva de gènere us agradi o no. Per això la mejoría de dones son les que tenen cura del s fills. A no… que si no vull pagar pensió o els nens ja están granets i ja no donen feina, llavors demano compartida….",,,
DI20241006115500-20581328,DI20241006115500,Pere,"10/6/2024, 10:39:39 AM",2024-10-06 10:39:39,"I quan la dona maltracta als fills i al marit, què fem?.",,,
DI20241006115500-20579948,DI20241006115500,Gerardo,"10/6/2024, 8:33:35 AM",2024-10-06 08:33:35,Dicho de otro modo:  quieren más dinerito.  ,,,
DI20241006115500-20579320,DI20241006115500,Justicia suprema,"10/6/2024, 7:22:59 AM",2024-10-06 07:22:59,La protecció haurien de donar als fills i filles que son els que més pateixen. ,,,
DI20241006115500-20576742,DI20241006115500,quin drama,"10/6/2024, 1:49:37 AM",2024-10-06 01:49:37,Pregunteu als nens de Gaza,,,
DI20241006115500-20576179,DI20241006115500,Pel seu nom,"10/6/2024, 12:23:51 AM",2024-10-06 00:23:51,"La violència no té gènere, la veritable xarxa social és la polarització i guerra de sexes induïda per un feminisme radical que és a les agendes polítiques occidentals.",,,
DI20241006115500-20576086,DI20241006115500,Justicia,"10/6/2024, 12:08:10 AM",2024-10-06 00:08:10,"També calen especialistes per detectar falses denúncies de dones oportunistes i despitades, i una llei contundent contra aquestes males praxis que destrossen la vida dels homes.",,,
DI20241006115500-20575945,DI20241006115500,Judith,"10/5/2024, 11:32:42 PM",2024-10-05 23:32:42,"D 'acord en tot,pero també hi  ha moltes dones que fan agresión contra homes sobretot psicològicament i la llei no els ampara.El sistema hauria de canviar aqui.I també dones alcohòliques i que es a la inversa i la llei no ampara els homes Falten moltes millores.",,,
DI20241006115500-20575824,DI20241006115500,Asimetría penal,"10/5/2024, 11:03:13 PM",2024-10-05 23:03:13,"Per què els homes no es poden acollir a la Llei contra la violència de gènere? Estic en contra la violència en totes les seves formes, inclosa la violència de la legislació contra els homes.",,,
DI20241006115500-20575746,DI20241006115500,Ja n'hi ha prou,"10/5/2024, 10:37:38 PM",2024-10-05 22:37:38,Agressius i maltractadors a fer teràpia i treballs socials.,,,
DI20241006115500-20575686,DI20241006115500,Sebas,"10/5/2024, 10:24:20 PM",2024-10-05 22:24:20,"i al reves que? les dones solen ser les que utilitzen els fills com a arma de guerra contra els pares en els processos de separacio en molts casos. El dema drogues i adiccions, homes i dones estan a la par. Igualtat davant la llei i presuncio d inocencia. Respectem els principis legals basics sisplau.",,,
DI20241006115500-20579599,DI20241006115500,Pere,"10/6/2024, 7:51:38 AM",2024-10-06 07:51:38,"Tota la raó, la meva exdona mà denuncia 6 vegades falsament només per treure'm el meus fills. Els hi dóna igual els nens i la justícia no fa res.",20575686,,
DI20241006064200-20575855,DI20241006064200,Roser,"10/5/2024, 11:11:28 PM",2024-10-05 23:11:28,Aquesta alegria ningú no ens la treurà ! Gràcies Mn Ramon per ser testimoni de la vida de Jesús pels ciutadans d'Andorra amb tanta constància i originalitat ! ,,,
DI20241006062400-20582203,DI20241006062400,Carles,"10/6/2024, 11:35:20 AM",2024-10-06 11:35:20,"Pot ser un descuit, no ho sé, el que si se és que qualsevol dia d'aquestos i després de veure els camions de NordAndorra com circulen per la comarca de l'Alt urgell és que hi haurà alguna desgràcia, van com a salvatges amb els seus trailers, una autèntica vergonya",,,
DI20241006062100-20576755,DI20241006062100,Toni,"10/6/2024, 1:52:52 AM",2024-10-06 01:52:52,Welcome to europe ,,,
DI20241006062100-20584857,DI20241006062100,AnTonia,"10/6/2024, 3:23:01 PM",2024-10-06 15:23:01,welcome to the city garrulo,20576755,,
DI20241006053700-20577804,DI20241006053700,Tix,"10/6/2024, 4:23:05 AM",2024-10-06 04:23:05,Felicitats!!!,,,
